banheiros;quartos;andar;area;suites;aluguel;custo;condo_iptu;vagas;nao_mobiliado;animal;arm_coz;arm_quar;box;arm_ban;sol_man;silencio;novo;luz;sol_tar;vista_livre;chuveiro_ele;tomada_nova;gas_enc;porteiro;elevador;salao_fest;piscina;churrasqueira;metro;esp_gourmet;quadra;academia;hipercentro;zona_sul;zona_norte;zona_leste;zona_oeste;apartamento;casa;latitude;longitude
6;5;0;471;1;14000;15527;1297;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;-19,940319;-43,952861
6;4;3;553;4;10870;15274;4259;3;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9343592;-43,9366373
7;8;0;800;5;14000;15087;834;4;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;-19,9534773;-43,9137545
5;8;0;330;2;12000;14872;2655;3;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,937815;-43,950279
5;5;0;550;1;14000;14594;364;3;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9543414;-43,9379073
6;7;0;650;4;13000;14464;1250;3;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;-19,9399504;-43,951034
3;4;2;250;2;10000;14107;3973;4;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;-19,9333271;-43,9414063
2;3;0;117;1;2800;14046;11208;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;-19,976971;-43,968518
3;4;0;500;1;10000;14014;3833;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;-19,9678049;-43,9500693
5;5;0;616;4;12500;13829;1103;6;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;-19,86995;-43,9778639
5;4;2;271;4;10000;13757;3623;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;-19,972399;-43,9419278
3;3;5;218;3;10600;13600;2858;3;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;-19,940532;-43,923221
4;4;22;204;2;10000;13595;3461;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;-19,9332288;-43,9241164
4;4;4;300;2;10000;13448;3314;4;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;-19,9291956;-43,948181
